CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
JDFM;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.010;1
Bandymas;0.818;1.000;0.900;0.018;1;0.818;1.000;0.900;0.018;1
ubuntu;0.500;0.333;0.400;0.009;1;0.500;0.333;0.400;0.009;1
Rotation1;1.000;0.600;0.750;0.005;1;1.000;0.600;0.750;0.005;1
Imolementacion II;0.750;1.000;0.857;0.001;1;0.750;1.000;0.857;0.001;1
Cellphone;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
Mobile Media v3;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
drupal sawsen;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
Example Mobile Phone;0.500;0.071;0.125;0.014;1;0.500;0.071;0.125;0.014;1
Basic Car;0.652;0.938;0.769;0.008;1;0.652;0.938;0.769;0.008;1
SPL Studies;0.000;0.000;0.000;0.061;1;0.000;0.000;0.000;0.000;0
testISA2012;0.500;0.071;0.125;0.014;1;0.500;0.071;0.125;0.014;1
Match engine;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
Cell-Phone-SPL-2014-without;0.000;0.000;0.000;0.047;1;0.000;0.000;0.000;0.000;0
Car;0.750;0.417;0.533;0.015;2;0.750;0.417;0.533;0.015;2
mobile phone;0.462;0.231;0.308;0.025;1;0.462;0.231;0.308;0.025;1
MyFM;0.000;0.000;0.000;0.019;1;0.000;0.000;0.000;0.019;1
Assistente de Compras;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
Mobile Phone;0.583;0.179;0.263;0.014;2;0.583;0.179;0.263;0.014;2
SAL;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
Guad gmocht!;0.667;0.600;0.632;0.020;1;0.667;0.600;0.632;0.020;1
ROOT;1.000;1.000;1.000;0.047;1;1.000;1.000;1.000;0.047;1
UPT_RM_MOBILE;0.500;0.071;0.125;0.014;1;0.500;0.071;0.125;0.014;1
Mobile Phone UPT - 18413;0.500;0.071;0.125;0.014;1;0.500;0.071;0.125;0.014;1
SPL_e_commerce;0.000;0.000;0.000;0.027;1;0.000;0.000;0.000;0.000;0
Analisis;0.600;0.500;0.545;0.003;1;0.600;0.500;0.545;0.003;1
anlisis II;0.667;0.286;0.400;0.027;1;0.667;0.286;0.400;0.027;1
Autosoft;0.652;0.580;0.610;0.087;2;0.652;0.580;0.610;0.087;2
PC model;1.000;0.111;0.200;0.009;1;1.000;0.111;0.200;0.009;1
ESCA Embeeded System;0.000;0.000;0.000;0.005;1;0.000;0.000;0.000;0.005;1
Telefono;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
Phone;0.826;0.826;0.826;0.045;1;0.826;0.826;0.826;0.045;1
celular;0.000;0.000;0.000;0.011;1;0.000;0.000;0.000;0.011;1
Match de foot;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
CarExample;0.000;0.000;0.000;0.001;1;0.000;0.000;0.000;0.000;0
Eval_board;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
Sample;0.500;0.500;0.500;0.031;1;0.500;0.500;0.500;0.031;1
collapse_view_example;0.000;0.000;0.000;0.015;1;0.000;0.000;0.000;0.000;0
jjjjj;0.500;0.333;0.400;0.018;1;0.500;0.333;0.400;0.018;1
Modelo de Característica para Entidades Urbanas;1.000;1.000;1.000;0.250;1;1.000;1.000;1.000;0.250;1
acarlos_trab2_mobile;0.500;0.071;0.125;0.014;1;0.500;0.071;0.125;0.014;1
Telefonia Celular;0.750;0.083;0.150;0.035;1;0.750;0.083;0.150;0.035;1
Ökonomische Merkmale;0.875;0.875;0.875;0.023;1;0.875;0.875;0.875;0.023;1
erewr;1.000;0.167;0.286;0.012;1;1.000;0.167;0.286;0.012;1
Webshop_SPLE2014_Chalmers;1.000;0.500;0.667;0.004;1;1.000;0.500;0.667;0.004;1
