CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Observatorio;0.250;0.500;0.333;0.004;2;0.500;1.000;0.667;0.004;1
eshop;0.900;1.000;0.947;0.009;2;0.900;1.000;0.947;0.009;2
AA;0.895;0.969;0.929;0.016;2;0.895;0.969;0.929;0.016;2
E-SHOP;0.786;1.000;0.864;0.008;2;0.786;1.000;0.864;0.008;2
Example Product Line Course Using SPLOT;0.813;0.857;0.833;0.014;2;0.813;0.857;0.833;0.014;2
AvionFEatures;0.633;1.000;0.775;0.012;2;0.633;1.000;0.775;0.012;2
search engine;0.650;1.000;0.778;0.008;2;0.650;1.000;0.778;0.008;2
NovoSiga;0.556;1.000;0.714;0.010;2;0.556;1.000;0.714;0.010;2
Disenio;0.833;0.750;0.733;0.004;2;0.833;0.750;0.733;0.004;2
CIMS PL;0.250;0.500;0.333;0.001;2;0.500;1.000;0.667;0.001;1
testing;0.996;1.000;0.998;0.125;2;0.996;1.000;0.998;0.125;2
Address Book;1.000;1.000;1.000;0.018;2;1.000;1.000;1.000;0.018;2
VODPlayer;0.600;1.000;0.750;0.047;2;0.600;1.000;0.750;0.047;2
isolation;0.750;1.000;0.857;0.003;2;0.750;1.000;0.857;0.003;2
Jogo;1.000;1.000;1.000;0.001;4;1.000;1.000;1.000;0.001;4
desordem;0.967;1.000;0.983;0.027;2;0.967;1.000;0.983;0.027;2
1;0.938;1.000;0.967;0.007;2;0.938;1.000;0.967;0.007;2
Mobile Phone GF;0.658;1.000;0.788;0.014;2;0.658;1.000;0.788;0.014;2
rtrt;1.000;1.000;1.000;0.020;2;1.000;1.000;1.000;0.020;2
Sylvain Example;0.764;0.857;0.805;0.004;4;0.764;0.857;0.805;0.004;4
MK Andes;1.000;1.000;1.000;0.004;2;1.000;1.000;1.000;0.004;2
Computer Selection;1.000;1.000;1.000;0.002;2;1.000;1.000;1.000;0.002;2
HandlingSystem;0.250;0.500;0.333;0.000;2;0.500;1.000;0.667;0.000;1
Modelo;0.500;0.250;0.333;0.004;2;1.000;0.500;0.667;0.004;1
JCS;0.800;1.000;0.875;0.023;2;0.800;1.000;0.875;0.023;2
MyFeatureModel;0.923;0.986;0.952;0.017;2;0.923;0.986;0.952;0.017;2
Mobile Game;0.969;1.000;0.984;0.132;2;0.969;1.000;0.984;0.132;2
votacao eletronica;0.875;1.000;0.933;0.007;2;0.875;1.000;0.933;0.007;2
Online Shop Feature Model;0.625;0.381;0.473;0.010;2;0.625;0.381;0.473;0.010;2
Website;1.000;1.000;1.000;0.031;2;1.000;1.000;1.000;0.031;2
Mobile Tourist Planner;0.250;0.500;0.333;0.027;2;0.500;1.000;0.667;0.027;1
VOD feature model;1.000;1.000;1.000;0.016;2;1.000;1.000;1.000;0.016;2
Mauricio Alférez;1.000;1.000;1.000;0.005;2;1.000;1.000;1.000;0.005;2
Asghar;0.764;0.984;0.856;0.016;2;0.764;0.984;0.856;0.016;2
Minimalistic PC Feature Model;0.500;0.500;0.500;0.004;2;1.000;1.000;1.000;0.004;1
MobileMedia;0.769;1.000;0.858;0.028;4;0.769;1.000;0.858;0.028;4
Rotary_Element;0.600;1.000;0.750;0.012;2;0.600;1.000;0.750;0.012;2
